tora_id,lat,long
24978,58.4762,13.468
24977,57.9106,14.0955
24976,58.2527,13.1373
24975,58.1484,13.2221
24974,58.6154,13.8205
24973,58.1616,12.7849
24972,58.4073,12.9827
24971,58.2663,13.4815
24970,57.5555,12.9952
24969,58.5954,13.0893
24968,58.1929,12.7165
24967,57.848,13.1347
24966,58.002,13.6775
24965,58.1084,14.1959
24964,58.9525,14.3884
24963,58.2128,13.1925
24962,58.391,12.6477
24961,58.23,13.4108
24960,58.678,13.6591
24959,58.4732,13.0537
24958,58.6303,14.3907
24957,58.6867,13.8478
24956,58.676,14.4455
24955,58.3312,13.7643
24954,58.305,12.8896
24953,58.4271,13.8454
24952,58.4106,13.0161
24951,58.3983,14.1876
24950,58.2339,12.9052
24949,58.9642,14.1231
24948,57.4603,13.0479
24947,58.1497,13.5071
24946,58.2275,13.0044
24945,58.1851,13.9423
24944,58.8267,14.4823
24943,58.4036,14.1403
24942,57.8276,12.9808
24941,57.9323,13.31
24940,58.5899,14.4891
24939,57.7382,12.1004
24938,58.3339,12.3295
24937,57.8634,13.7782
24936,58.3324,12.3817
24935,57.9327,12.5129
24934,58.9169,14.2163
24933,58.3392,14.336
24932,58.5247,14.4182
24931,58.1923,14.2292
24930,58.5451,13.3669
24929,57.9292,13.828
24928,57.7597,12.0079
24927,58.1855,13.0475
24926,58.0857,12.3831
24925,57.5225,13.3355
24924,58.4894,13.7301
24923,57.3356,13.1454
24922,57.5511,13.6041
24921,58.505,12.9235
24920,58.9109,14.2063
24919,58.1611,12.4125
24918,57.9112,13.3346
24917,58.01,13.8607
24916,57.9377,12.2147
24915,58.2261,13.872
24914,58.3194,14.1035
24913,58.1653,12.2444
24912,58.6567,13.9263
24911,57.7535,12.1806
24910,57.6497,13.46
24909,58.7295,13.9094
24908,58.0681,13.3244
24907,58.2825,13.3038
24906,58.3734,13.1951
24905,58.3739,13.5799
24904,58.3205,13.0173
24903,58.0834,14.2014
24902,58.1699,13.0131
24901,58.2081,14.0586
24900,58.1342,13.853
24899,58.4423,13.2202
24898,58.3096,12.9285
24897,58.3209,12.5953
24896,57.4081,12.6228
24895,58.5793,13.3455
24894,57.8933,12.5488
24893,58.2769,13.7969
24892,58.4371,14.4044
24891,58.2972,12.7289
24890,57.7829,12.2953
24889,58.1084,12.1485
24888,57.6011,13.0497
24887,58.6727,13.995
24886,58.0024,13.3194
24885,58.5989,13.9647
24884,57.6312,13.1561
24883,58.3261,12.785
24882,58.9045,14.221
24881,58.1156,13.8526
24880,58.0702,13.8696
24879,58.1907,13.7501
24878,58.5902,13.1092
24877,58.6688,13.6596
24876,58.6241,14.1264
24875,58.4793,13.2412
24874,58.1051,13.9081
24873,58.367,14.3667
24872,58.3885,13.0216
24871,58.3681,14.0968
24870,58.1814,13.8164
24869,58.2826,13.4891
24868,58.8006,13.966
24867,58.5111,13.4597
24866,58.0538,12.9003
24865,58.5323,13.1012
24864,58.2978,12.3762
24863,58.345,14.1194
24862,58.4258,13.13
24861,58.1133,13.2744
24860,58.6833,13.9601
24859,58.3497,13.3292
24858,57.8583,13.7932
24857,58.2201,13.629
24856,58.367,13.889
24855,58.2501,14.2674
24854,58.2698,14.2717
24853,58.8835,14.2604
24852,58.288,12.8149
24850,59.6707,16.853
